entidad,_id,año,cve_ent,cve_mun,cve_sun,municipio,entubada_total
Zac,32056,2015,32,32056,56,Zacatecas,97.85258230741329
Yuc,31101,2015,31,31101,55,Umán,98.3170771430122
Yuc,31100,2015,31,31100,55,Ucú,96.8223791417708
Yuc,31041,2015,31,31041,55,Kanasín,97.8248907254171
Yuc,31013,2015,31,31013,55,Conkal,98.80556802873821
Tlax,29044,2015,29,29044,34,Zacatelco,98.8927465515623
Tlax,29043,2015,29,29043,46,Yauhquemehcan,99.4072487988301
Tlax,29039,2015,29,29039,46,Xaloztoc,99.11697007742201
Tlax,29033,2015,29,29033,46,Tlaxcala,98.9437249476597
Tlax,29032,2015,29,29032,34,Tetlatlahuca,98.6282987923065
Tlax,29019,2015,29,29019,34,Tepetitla de Lardizábal,98.64158829676072
Tlax,29027,2015,29,29027,34,Tenancingo,99.6259934548854
Tlax,29026,2015,29,29026,46,Santa Cruz Tlaxcala,99.33277319230959
Tlax,29059,2015,29,29059,34,Santa Cruz Quilehtla,99.34439949783791
Tlax,29057,2015,29,29057,34,Santa Apolonia Teacalco,97.9354271908631
Tlax,29054,2015,29,29054,34,San Lorenzo Axocomanitla,99.8216833095577
Tlax,29051,2015,29,29051,34,San Jerónimo Zacualpan,98.2213963366074
Tlax,29050,2015,29,29050,46,San Francisco Tetlanohcan,99.01924839596701
Zac,32017,2015,32,32017,56,Guadalupe,98.0299079346495
Tlax,29049,2015,29,29049,46,San Damián Texóloc,99.33501078360891
Tlax,29024,2015,29,29024,46,Panotla,98.784709435074
Tlax,29023,2015,29,29023,34,Natívitas,98.7785893904921
Tlax,29017,2015,29,29017,34,Mazatecochco de José María Morelos,99.41289789927531
Tlax,29048,2015,29,29048,46,La Magdalena Tlaltelulco,99.0298982188295
Tlax,29015,2015,29,29015,34,Ixtacuixtla de Mariano Matamoros,97.7455380440455
Tlax,29018,2015,29,29018,46,Contla de Juan Cuamatzi,99.49375016309591
Tlax,29010,2015,29,29010,46,Chiautempan,99.50147842358619
Tlax,29005,2015,29,29005,46,Apizaco,99.63112303954608
Zac,32032,2015,32,32032,56,Morelos,99.0506329113924
Tlax,29002,2015,29,29002,46,Apetatitlán de Antonio Carvajal,99.370533079798
Tlax,29001,2015,29,29001,46,Amaxac de Guerrero,99.32699210337401
Yuc,31050,2015,31,31050,55,Mérida,98.7515182645969
Tlax,29022,2015,29,29022,34,Acuamanala de Miguel Hidalgo,99.9493670886076
Tamps,28027,2015,28,28027,45,Nuevo Laredo,98.71782995035059
Tamps,28022,2015,28,28022,44,Matamoros,96.84981107707209
Tamps,28009,2015,28,28009,42,Ciudad Madero,98.43553515503599
Tamps,28003,2015,28,28003,42,Altamira,97.57599993193399
Tab,27004,2015,27,27004,41,Centro,98.699217397529
Slp,24035,2015,24,24035,38,Soledad de Graciano Sánchez,99.1607993741554
Slp,24028,2015,24,24028,38,San Luis Potosí,96.79193244845241
Tlax,29041,2015,29,29041,34,Papalotla de Xicohténcatl,98.68923725464359
Slp,24024,2015,24,24024,39,Rioverde,88.74491519123121
Slp,24011,2015,24,24011,39,Ciudad Fernández,96.48507314489972
Qroo,23003,2015,23,23003,37,Isla Mujeres,89.8952556993222
Qro,22014,2015,22,22014,36,Querétaro,98.01328496918829
Qro,22008,2015,22,22008,36,Huimilpan,97.2476824650737
Qro,22006,2015,22,22006,36,Corregidora,97.15528155446691
Pue,21163,2015,21,21163,34,Tepatlaxco de Hidalgo,87.7346611721611
Pue,21156,2015,21,21156,35,Tehuacán,95.52793551702949
Pue,21149,2015,21,21149,35,Santiago Miahuatlán,77.9055018233708
Pue,21143,2015,21,21143,34,San Salvador el Verde,99.0368362302663
Pue,21140,2015,21,21140,34,San Pedro Cholula,92.37190915432909
Pue,21122,2015,21,21122,34,San Felipe Teotlalcingo,98.8332058148431
Pue,21119,2015,21,21119,34,San Andrés Cholula,94.04235479241491
Pue,21090,2015,21,21090,34,Juan C. Bonilla,80.8273330509671
Pue,21074,2015,21,21074,34,Huejotzingo,97.65203481278641
Pue,21041,2015,21,21041,34,Cuautlancingo,98.3958268313344
Pue,21054,2015,21,21054,59,Chignautla,93.1980348578781
Nl,19048,2015,19,19048,31,Santa Catarina,98.3785367430646
Nl,19019,2015,19,19019,31,San Pedro Garza García,98.7549036329524
Nl,19045,2015,19,19045,31,Salinas Victoria,95.10444346028929
Mex,15015,2015,15,15015,13,Atlautla,94.56356521457899
Tlax,29056,2015,29,29056,34,Santa Ana Nopalucan,96.7580084909301
Mex,15009,2015,15,15009,13,Amecameca,98.04102826347771
Mex,15010,2015,15,15010,13,Apaxco,97.2967445031532
Tlax,29031,2015,29,29031,46,Tetla de la Solidaridad,97.93027320393709
Mex,15005,2015,15,15005,24,Almoloya de Juárez,89.89429007529628
CDMX,9008,2015,9,9008,13,La Magdalena Contreras,98.7145211950237
