"Tabla de indicadores","","Fecha de descarga: 18-08-2017 (18:00:59)","","","","","","","","","","","","",""
" ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"ciudad","indicador","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Tecate, Baja California","Tomas con servicio continuo (%)","91.99","91.46","90.4","90.68","90.14","90.43","89.82","95.96","96.04","96.23","99.39","99.44","99.12","99.23"
"Tijuana, Baja California","Tomas con servicio continuo (%)","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Ensenada, Baja California","Tomas con servicio continuo (%)","100","100","100","100","100","78.13","98.83","98.77","99","97.79","97.71","97.54","97.5",""
"Mexicali, Baja California","Tomas con servicio continuo (%)","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Torreón, Coahuila","Tomas con servicio continuo (%)","99.69","99.77","99.76","99.71","99.72","99.7","99.71","92.91","100","100","100","99.71","100","100"
"Saltillo, Coahuila","Tomas con servicio continuo (%)","49.08","38.76","59.66","76.81","80.65","81.28","86.31","87.89","88.34","89.72","94.81","96.99","21.84","22.13"
"Irapuato, Guanajuato","Tomas con servicio continuo (%)","","54.48","61.52","70.1","56.05","","","","","80.95","79.99","","18.85","19.9"
"Celaya, Guanajuato","Tomas con servicio continuo (%)","","","","","2.5","2.37","87.29","94.03","100","100","100","100","100","100"
"Toluca, México","Tomas con servicio continuo (%)","","","","","","","","","84.35","84.79","65.29","65","61.91",""
"Atlacomulco, México","Tomas con servicio continuo (%)","","9.99","9.99","","","","","97.61","8.61","8.21","8.15","","",""
"Monterrey, Nuevo León","Tomas con servicio continuo (%)","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Puebla, Puebla","Tomas con servicio continuo (%)","4.92","4.87","5.17","5.37","4.01","4.67","3.87","3.86","3.34","2.87","2.88","9.71","9.5","9.07"
"Izucar de Matamoros, Puebla","Tomas con servicio continuo (%)","1.92","1.87","1.81","1.74","1.52","1.44","1.41","1.39","1.47","1.45","1.39","1.38","1.37","1.35"
"San Juan del Río, Querétaro","Tomas con servicio continuo (%)","","","","","","","","95.18","91.15","100","90.95","92.98","88.69","99.79"
"Othón P. Blanco - Chetumal, Quintana Roo","Tomas con servicio continuo (%)","","","","","","","","","","","","","66.59","66.54"
"Culiacán, Sinaloa","Tomas con servicio continuo (%)","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Guaymas, Sonora","Tomas con servicio continuo (%)","","105.51","101.3","101.37","100.35","100.23","104.96","","","","","15.17","19.32","5.48"
"Córdoba, Veracruz","Tomas con servicio continuo (%)","","14.98","14.98","15.02","14.76","14.95","70","70","22.32","22.84","21.54","15.99","8.16","15.61"
"Martínez de la Torre, Veracruz","Tomas con servicio continuo (%)","72.82","73.76","63.51","56.45","53.55","0.26","0.26","0.29","0.27","0.27","0.27","0.27","0.27","0.26"
"Xalapa, Veracruz","Tomas con servicio continuo (%)","","","","","","99.76","97.73","97.21","100","99.49","99.78","99.8","99.66","99.65"
"Tuxtla Gutiérrez, Chiapas","Tomas con servicio continuo (%)","","","","16.93","21.19","21.87","23.56","40.83","42.4","42.07","41.5","35","3.86",""
