,cve_sun,entidad,municipio
172,1,Ags,Jesús María
110,1,Ags,Aguascalientes
157,1,Ags,San Francisco de los Romo
155,2,Bc,Tecate
185,2,Bc,Playas de Rosarito
137,2,Bc,Tijuana
188,3,Bc,Mexicali
203,8,Col,Comala
149,8,Col,Villa de Álvarez
233,8,Col,Coquimatlán
318,8,Col,Colima
321,8,Col,Cuauhtémoc
153,9,Col,Armería
213,9,Col,Tecomán
158,11,Chih,Juárez
198,12,Chih,Chihuahua
268,12,Chih,Aquiles Serdán
357,12,Chih,Aldama
122,19,Hgo,Tulancingo de Bravo
236,19,Hgo,Cuautepec de Hinojosa
189,29,Mor,Yautepec
346,29,Mor,Cuautla
348,29,Mor,Tlayacapan
278,29,Mor,Atlatlahucan
324,29,Mor,Ayala
352,29,Mor,Yecapixtla
355,30,Nay,Xalisco
327,30,Nay,Tepic
84,35,Pue,Tehuacán
85,35,Pue,Santiago Miahuatlán
82,36,Qro,Corregidora
186,36,Qro,El Marqués
81,36,Qro,Huimilpan
80,36,Qro,Querétaro
79,37,Qroo,Isla Mujeres
212,37,Qroo,Benito Juárez
113,40,Son,Empalme
273,40,Son,Guaymas
125,41,Tab,Nacajuca
73,41,Tab,Centro
148,43,Tamps,Río Bravo
184,43,Tamps,Reynosa
70,44,Tamps,Matamoros
69,45,Tamps,Nuevo Laredo
64,56,Zac,Morelos
53,56,Zac,Guadalupe
33,56,Zac,Zacatecas
