Proceso:,Agregar CVE_EDO y CVE_MUN,,,,,,,,
CVE_EDO,ESTADO,EE_MUN,CVE_MUN,MUNICIPIO,LOCALIDAD,NOMBRE DE PTAR,CAPACIDAD INSTALADA L/S,CAUDAL TRATADO L/S,TIPO DE PROCESO
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Cd. Aguascalientes,2000,510.41,Dual
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Ciudad Gótica,15,3,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Colonia Bolaños,1,1.8,Lagunas de Estabilización
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,El Eden I (Capamita),2,0.6,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Ferronales,40,19.78,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Fracc. Jardines del Lago,8,2.9,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Fracc. Los Miradores,40,6,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Fracc. Villa Sur,22,9,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Fraccionamiento La Natura,50,11.84,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Las Violetas,1,1.5,Lagunas de Estabilización
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Los Arellano,300,99.14,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Los Pocitos,300,74.56,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Los Sauces,100,57.69,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Parque México,120,30,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Presa El Cedazo,300,93.39,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Presa Los Gringos,60,50,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Querencia,10,6,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Rancho Santa Mónica (Providencia),20,6,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Reencuentro,8,3.97,Anaerobio
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Villa Las Norias,9.5,2,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Villa Las Palmas,10,4,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,"Villas ""Lic. Jesús Terán"" Calvillito",10,5,Lodos Activados
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Aguascalientes,Vistas de Oriente,20,10,Discos Biológicos o Biodiscos
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Cieneguilla (La Lumbrera),Cieneguilla,3,2,Lagunas de Estabilización
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Ciudad de los Niños,Ciudad de los Niños,2,0.1,Lagunas de Estabilización
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,Cotorina (Coyotes),Cotorina,4,1.4,Lagunas de Estabilización
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,El Cedazo (Cedazo de San Antonio),El Cedazo de San Antonio,1,0.7,Lagunas de Estabilización
01,AGUASCALIENTES,01AGUASCALIENTES,01001,Aguascalientes,El Colorado (El Soyatal),El Colorado (El Soyatal),1,0.5,Lagunas de Estabilización
